Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,date,Return,Amihud_daily,Amihud_30d
2010-08-21,0.0655,0.0669,0.0644,0.0664,10443.86,688.5147954,0.065925318359,2010-08-21,0.013740458015267132,1.9956663396440835e-05,0.0005105195573163469
2010-08-22,0.065,0.0664,0.0612,0.066,18648.972,1183.64149298,0.063469530277,2010-08-22,-0.0060240963855421326,5.089460297961962e-06,0.00045397778145782927
2010-08-23,0.066,0.06689,0.063,0.06491,4297.49,281.877223,0.065591129473,2010-08-23,-0.016515151515151594,5.858987590193335e-05,0.0002950088221938262
2010-08-24,0.06491,0.0665,0.06491,0.065,6711.757,444.65573957,0.066250273895,2010-08-24,0.001386535202588357,3.1182217594429177e-06,0.00026608561212328495
2010-08-25,0.06499,0.0665,0.0641,0.0648,4228.88,278.8612816,0.065942112711,2010-08-25,-0.0030769230769231992,1.103388415655621e-05,0.00018905849841248327
2010-08-26,0.06482,0.0658,0.064,0.064,3870.01,251.563028,0.065003198441,2010-08-26,-0.012345679012345623,4.907588810047883e-05,0.00017860329730687432
2010-08-27,0.064,0.065,0.063,0.065,9009.973,583.708613,0.064784723883,2010-08-27,0.015625,2.676849313511843e-05,0.00017710618004788205
2010-08-28,0.065,0.065,0.0641,0.0641,6174.005,399.4527639,0.064699131909,2010-08-28,-0.013846153846153841,3.4662806462944196e-05,0.00016647848230637262
2010-08-29,0.0647,0.0648,0.064,0.064,3173.402,204.8752337,0.06456012623,2010-08-29,-0.0015600624024961762,7.614694925891261e-06,0.0001494378015335717
2010-08-30,0.0646,0.069,0.03211,0.06497,34193.138,2134.99651286,0.062439326653,2010-08-30,0.015156249999999982,7.098957730706999e-06,0.00013844883821663225
2010-08-31,0.06411,0.0649,0.06,0.06,14886.907,933.22890492,0.062687897823,2010-08-31,-0.0764968446975528,8.1970076467049e-05,0.00012079238491962951
2010-09-01,0.062,0.0629,0.05961,0.0629,7164.722,436.730099,0.060955623819,2010-09-01,0.04833333333333334,0.00011067094629842158,0.00012176845291305239
2010-09-02,0.061,0.0634,0.0601,0.0634,8150.73,498.9765628,0.061218634748,2010-09-02,0.007949125596184325,1.593085966117911e-05,0.00012229948156842503
2010-09-03,0.061,0.063,0.06085,0.06085,892.0,54.61025,0.061222253363,2010-09-03,-0.04022082018927442,0.0007365067947734064,0.0001389420109151775
2010-09-04,0.06125,0.06238,0.0612,0.06238,3301.0,202.26638,0.061274274462,2010-09-04,0.025143796220213677,0.00012431030910927302,0.0001353811053947413
2010-09-05,0.06245,0.064,0.0605,0.0616,8459.24,527.96945246,0.06241334357,2010-09-05,-0.012504007694773889,2.368320295144579e-05,0.00012790143768405727
2010-09-06,0.0627,0.0627,0.0616,0.0616,910.0,56.128,0.061679120879,2010-09-06,0.0,0.0,0.00011667961803996735
2010-09-07,0.0616,0.06201,0.0603,0.061,3457.192,212.35224479,0.061423329913,2010-09-07,-0.009740259740259827,4.586840958470768e-05,0.00011011291217780815
2010-09-08,0.061,0.062,0.06099,0.062,2345.41,143.36492,0.06112573921,2010-09-08,0.016393442622950838,0.00011434765647656928,0.00010769157209263376
2010-09-09,0.0611,0.0624,0.06109,0.06111,1733.502,107.6759279,0.062114683398,2010-09-09,-0.014354838709677464,0.0001333152078615843,0.00010685281556241442
2010-09-10,0.061,0.0618,0.06014,0.0618,4939.788,301.79614516,0.061094958966,2010-09-10,0.011291114383897849,3.741305038177927e-05,0.00010669334693932104
2010-09-11,0.0619,0.065,0.0619,0.06366,7749.14,491.192371,0.063386694653,2010-09-11,0.030097087378640586,6.127352368557163e-05,9.763781224166467e-05
2010-09-12,0.0621,0.0621,0.0615,0.0615,793.88,48.98673581,0.061705466582,2010-09-12,-0.03393025447690845,0.0006926416695431671,0.00010952380319684285
2010-09-13,0.06199,0.064,0.0607,0.06219,10076.336,632.19595537,0.062740658447,2010-09-13,0.011219512195121961,1.7746890184635256e-05,0.00010574031517535587
2010-09-14,0.062,0.175,0.061,0.06199,14014.808,876.75528827,0.062559207966,2010-09-14,-0.0032159511175430255,3.6680145082314708e-06,0.00010297820064791621
2010-09-15,0.0625,0.0625,0.0604,0.0604,3651.85,223.27125883,0.061139219527,2010-09-15,-0.025649298273915155,0.00011487953446549374,0.00010665365282588032
2010-09-16,0.0618,0.0619,0.0618,0.0619,730.0,45.1686,0.061874794521,2010-09-16,0.024834437086092676,0.0005498164009088765,0.00012247805138569648
